17:12:13.278969 ARP, Request who-has 192.168.5.130 (Broadcast) tell 192.168.5.129, length 46
17:12:13.279460 ARP, Reply 192.168.5.130 is-at 00:0c:29:36:59:9f (oui Unknown), length 46
17:12:14.701190 IP 192.168.5.130.1040 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.701299 IP 192.168.5.129.56528 > 192.168.5.130.7938: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.701391 IP 192.168.5.129.56528 > 192.168.5.130.8000: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.701501 IP 192.168.5.130.7921 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.701756 IP 192.168.5.130.7938 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.701862 IP 192.168.5.130.8000 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.791994 IP 192.168.5.129.56529 > 192.168.5.130.5718: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.792693 IP 192.168.5.130.5718 > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
17:12:14.794959 IP 192.168.5.129.56529 > 192.168.5.130.9929: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.795218 IP 192.168.5.129.56529 > 192.168.5.130.3784: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.795366 IP 192.168.5.129.56529 > 192.168.5.130.1049: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.795474 IP 192.168.5.129.56529 > 192.168.5.130.19283: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.795615 IP 192.168.5.130.9929 > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
17:12:14.795739 IP 192.168.5.129.56529 > 192.168.5.130.qotd: Flags [S], seq 3953408266, win 1024, options [mss 1460], length 0
17:12:14.795864 IP 192.168.5.130.3784 > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
17:12:14.795942 IP 192.168.5.130.1049 > 192.168.5.129.56529: Flags [R.], seq 0, ack 3953408267, win 0, length 0
